"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Plekhg2"	3.44862373408518e-09	-0.734501612651001	0.052	0.085	4.33974810697279e-05
"Erlin1"	3.46204774806169e-09	-0.582142417967983	0.085	0.124	4.35664088616083e-05
"Zcchc24"	3.474727249471e-09	-0.44131878123088	0.115	0.159	4.37259677073431e-05
"Pmvk"	3.59681636914966e-09	-0.383336296538542	0.163	0.215	4.52623371893793e-05
"Hnrnpa0"	3.6233890948469e-09	0.486955802095548	0.169	0.125	4.55967283695534e-05
"Aspa"	3.64698722621396e-09	-3.05878933120761	0.001	0.011	4.58936872546765e-05
"Cnot8"	3.66606019811247e-09	-0.29340368163001	0.278	0.339	4.61337015330473e-05
"Pecr"	3.69372335506052e-09	1.28859086835319	0.034	0.014	4.64818147000815e-05
"Mfsd7a"	3.78158435871493e-09	-0.75697461287945	0.043	0.074	4.75874575700687e-05
"Tdrkh"	3.84582564812771e-09	0.970108823086063	0.05	0.025	4.83958699560391e-05
"Nbdy"	3.89124539400703e-09	0.447493447022438	0.19	0.143	4.89674320381845e-05
"Cct4"	3.94535987445437e-09	0.250994055785011	0.466	0.417	4.96484086601337e-05
"Lifr"	4.0384514677173e-09	-0.698273729457679	0.066	0.097	5.08198732697545e-05
"Dnajc3"	4.13613451752643e-09	-0.324451566960338	0.319	0.371	5.20491167685525e-05
"Ccdc97"	4.13797694782877e-09	-0.495243709987777	0.094	0.135	5.20723019114772e-05
"Cerk"	4.21930168537197e-09	0.364929197364605	0.27	0.222	5.30956924087209e-05
"Tmem64"	4.2712554460555e-09	1.31667816145477	0.033	0.014	5.37494785331624e-05
"Rpl36a-ps1"	4.29091043430892e-09	1.40926399660048	0.03	0.012	5.39968169053434e-05
"Tardbp"	4.35653361900221e-09	-0.361512025743048	0.179	0.233	5.48226190615238e-05
"Cd244a"	4.38909108657437e-09	-1.07734155655499	0.024	0.048	5.52323222334519e-05
"Sfxn1"	4.59627416844146e-09	0.502006008666765	0.147	0.103	5.78395141356673e-05
"Runx2"	4.61167126618887e-09	0.992172838553665	0.049	0.024	5.80332712137208e-05
"Trim11"	4.78171529677657e-09	-0.595785914627411	0.072	0.11	6.01731052946363e-05
"Sae1"	4.86412261650127e-09	0.401312242694719	0.192	0.158	6.12101190060519e-05
"Rasa1"	5.0133722907019e-09	0.662561794844019	0.098	0.064	6.30882769061927e-05
"Arhgap4"	5.07311657738153e-09	-0.419287081839921	0.171	0.219	6.38400990097691e-05
"Fdft1"	5.09306688288068e-09	-0.467901393194307	0.113	0.158	6.40911536541704e-05
"Grk3"	5.1867075926643e-09	-0.90544360857081	0.03	0.057	6.52695283460875e-05
"Gpatch4"	5.24235975972256e-09	0.90213393891413	0.06	0.032	6.59698552163487e-05
"Rbp1"	5.31609699490017e-09	1.8770429579513	0.042	0.021	6.68977645838238e-05
"Hs2st1"	5.35120361029304e-09	0.799670699355764	0.071	0.042	6.73395462319276e-05
"Tmem176a"	5.44996180258158e-09	-0.815304501411598	0.02	0.043	6.85823193236866e-05
"Gpr146"	5.4539270541572e-09	-0.368820763501139	0.191	0.245	6.86322180495142e-05
"Stx4a"	5.51305635533403e-09	0.2530768202497	0.469	0.419	6.93763011755235e-05
"Rrs1"	5.62781458552288e-09	0.673843250704915	0.095	0.06	7.08204187442199e-05
"Arfip1"	5.70513233521393e-09	-0.575629111009309	0.059	0.091	7.17933853063321e-05
"Tceal9"	5.87038360345639e-09	0.279134265723914	0.344	0.31	7.38729072658952e-05
"Tlr9"	6.07177191364896e-09	-0.999061051030385	0.017	0.037	7.64071777613585e-05
"Myl6b"	6.07871820136693e-09	-1.03822800872529	0.023	0.047	7.64945898460015e-05
"Stambpl1"	6.08224576089296e-09	-0.505128802307757	0.097	0.139	7.6538980655077e-05
"Ttc7b"	6.09937421403225e-09	1.54458602541729	0.025	0.009	7.67545251093819e-05
"Spatc1"	6.23221726725026e-09	-1.98970127399192	0.004	0.017	7.84262220910773e-05
"Stk26"	6.39287462637874e-09	-1.35323668967286	0.012	0.03	8.04479342983501e-05
"Tirap"	6.40893184960162e-09	-0.585373483134607	0.063	0.097	8.06499983953868e-05
"Pxylp1"	6.53644747673655e-09	-1.60119577504456	0.008	0.023	8.22546550472527e-05
"Htra4"	6.53787932561711e-09	1.23031523847694	0.034	0.014	8.22726734335657e-05
"Tep1"	6.6072087808551e-09	0.475787234529644	0.174	0.129	8.31451152982806e-05
"Il11ra1"	6.70432678250306e-09	0.961311874848905	0.052	0.027	8.43672482310185e-05
"Plpp1"	6.74977397504383e-09	-1.18053460355998	0.018	0.038	8.49391557019516e-05
"Slc26a11"	6.80278095888038e-09	0.915414164900063	0.056	0.031	8.56061955865507e-05
"Ttyh2"	6.87196278918083e-09	1.31882122709841	0.031	0.013	8.64767797390516e-05
"Hk2"	6.87819284442671e-09	0.328557275670832	0.257	0.239	8.65551787542657e-05
"Padi4"	6.88289161943611e-09	-1.43367968222818	0.008	0.024	8.6614308138984e-05
"Prpf19"	6.98304459005006e-09	0.400802417852287	0.224	0.18	8.787463312119e-05
"Acsf2"	6.98930234666056e-09	-0.679793703909786	0.056	0.09	8.79533807303765e-05
"Pink1"	6.99952834028228e-09	0.390390312605445	0.229	0.177	8.80820646341122e-05
"Nin"	7.02732331643534e-09	-0.442983879523563	0.145	0.192	8.84318366140224e-05
"Clec5a"	7.38922733656079e-09	-0.330621953981184	0.425	0.481	9.2986036803281e-05
"Gm15503"	7.42067053866609e-09	1.53496588503088	0.025	0.009	9.33817180585741e-05
"Vwa5a"	7.42803402141576e-09	-0.409975421636913	0.163	0.213	9.34743801254959e-05
"Rpl10-ps3"	7.4740504163828e-09	0.911244877562289	0.056	0.03	9.40534504397612e-05
"Bbip1"	7.54275454273385e-09	-0.270878432128727	0.314	0.375	9.49180231657628e-05
"Galnt9"	7.64526888306425e-09	-0.717648115881737	0.052	0.085	9.62080636244805e-05
"Impa2"	7.77503948413637e-09	0.352119534114429	0.294	0.244	9.7841096868372e-05
"BC049352"	7.94438789927116e-09	-1.46538854195552	0.011	0.028	9.99721773244283e-05
"Yars"	7.95829051806279e-09	0.628748610999558	0.103	0.067	0.000100147127879302
"Smc2"	8.20781425401189e-09	1.00399827395045	0.048	0.026	0.000103287134572486
"Psat1"	8.20867217035217e-09	0.756476256039729	0.077	0.046	0.000103297930591712
