"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Dram1"	2.95482444117367e-94	-0.379801079854779	0.172	0.377	3.71835107677295e-90
"Rpl14"	3.08852378862695e-94	0.378738430782025	0.992	0.926	3.88659833560816e-90
"BC005537"	3.25393667039616e-94	0.440196872628516	0.539	0.302	4.09475390602652e-90
"Fcgr1"	7.89134138593442e-94	0.533788796049318	0.862	0.685	9.93046400005988e-90
"Sgk1"	8.66439199071788e-94	-0.702583785573542	0.493	0.659	1.09032708811194e-89
"Ccl12"	1.75858276806715e-93	1.16514927189636	0.408	0.179	2.2130005553357e-89
"Tgfbi"	6.54434854763889e-93	0.567683569146125	0.947	0.81	8.23540821234877e-89
"Zfand5"	6.79598388185061e-92	-0.544597445943414	0.469	0.65	8.55206611692081e-88
"Arhgap45"	2.70290014927915e-91	0.39403563881595	0.479	0.244	3.40132954785288e-87
"Ehd4"	3.34423398341188e-91	0.377697890315087	0.465	0.231	4.20838404472551e-87
"Igfbp4"	7.06416513452015e-91	0.383870231000301	0.252	0.068	8.88954540528015e-87
"Csk"	1.69300326627629e-90	0.38044163236639	0.541	0.302	2.13047531028208e-86
"Bmyc"	3.63717510275795e-90	0.314624010485419	0.307	0.104	4.5770211493106e-86
"Gapdh"	5.41758487588567e-90	-0.391284664610231	1	0.999	6.81748880781453e-86
"Extl3"	6.37018862394046e-90	0.289857098460066	0.287	0.092	8.01624536436668e-86
"Ralgds"	8.68740804593619e-90	-0.41932207679774	0.169	0.369	1.09322342850061e-85
"Fcgrt"	1.15438832005683e-89	0.491207071603013	0.422	0.203	1.45268226195951e-85
"Lsp1"	3.77291236524201e-89	0.506898192427722	0.792	0.602	4.74783292042055e-85
"Stab1"	1.10367711529044e-88	0.512585456313194	0.467	0.247	1.38886728188149e-84
"Sap30"	1.87078988619059e-88	-0.56586700942393	0.382	0.517	2.35420199278224e-84
"Slamf9"	6.14475500115004e-88	0.450110263831897	0.442	0.212	7.73255969344722e-84
"Ccl3"	6.70872704048382e-88	-0.971932951444074	0.357	0.584	8.44226210774483e-84
"Epn1"	1.12222717316879e-87	0.391800382513956	0.694	0.492	1.41221067471561e-83
"Ctsl"	2.39822326762033e-87	-0.781592894433246	0.968	0.984	3.01792415997342e-83
